abide, anıt 
acayip, garip
acıma, merhamet
açıkgöz, kurnaz
ad, isim
adale, kas
adet, tane
adıl, zamir
adi, bayağı
aferin, bravo
affet, bağışla
ahenk, uyum
akıl, us
aksi, ters
al, kırmızı
alaka, ilgi
alaz, alev
alelade, sıradan
allah, tanrı
ama, fakat
ama, kör
amaç, erek
amade, hazır
amale, işçi
amel, iş
ana, anne
anı, hatıra
anıt, abide
aniden, birden
aniden, ansızın
anlam, mana
anlatım, ifade
ant, yemin
apse, iltihap
araç, vasıta
arıza, bozukluk
arka, geri
armağan, hediye
art, arka
arzu, istek
asır, yüzyıl
asil, soylu
aş, yemek
aşırmak, çalmak
ata, cet
atak, girişken
atamak, tayin etmek
atölye, işlik
avare, serseri(aylak)
ayakyolu, hela(wc)
aylak, serseri
ayraç, parantez
ayrıcalık, imtiyaz
aza, üye
acemi, toy
adalet, hak
aka, büyük
aleni, açık
ara, fasıla
ayakkabı, pabuç
bağışlamak, affetmek
bağnaz, yobaz
bakış, nazar
barış, sulh
basımevi, matbaa
basit, yalın
başkaldırı, isyan
başkan, reis
başkent, başşehir
başvuru, müracaat
batı, garp
bayağı, adi
bayındır, mamur
bayındırlık, imar
baytar, veteriner
bazen, kimi
bedava, parasız
beden, gövde
beğeni, zevk
belde, şehir
belge, vesika
bellek, hafıza
bencil, egoist
benlik, kişilik
beraber, birlikte
bereket, bolluk
berrak, duru
besin, gıda
beyanat, demeç
beyaz, ak
beygir, at
beyhude, boşuna
biçare, zavallı
biçim, şekil
bilakis, tersine
bilgin, alim
bilgisiz, cahil
bilhassa, özellikle
bilim, ilim
bilgisiz, cahil
bilinç, şuur
bina, yapı
birden, ani
birdenbire, aniden
birey, fert
biricik, tek
bitki, nebat
boylam, meridyen
bozkır, step
bucak, nahiye
buğu, buhar
buhran, bunalım
buyruk, emir
büro, ofis (yazıhane)
bacı, kız kardeş
baş, kafa
cahil, bilgisiz
caka, gösteriş
camekan, vitrin
canlı, diri
cazibe, çekim
cehalet, bilgisizlik
celse, oturum
cenk, savaş
cenup, güney
cerahat, irin
cerrah, operatör
cesur, yürekli
cet, ata
cevap, yanıt
ceviz, koz
cılız, sıska
ciddi, ağırbaşlı
cihaz, aygıt
cihet, yön
cilt, ten
cimri, pinti
cimri, hasis
cin, tür
civar, yöre
cömert, eli açık
cümle, tümce
cılız, sıska
ciddi, ağırbaşlı
cihaz, aygıt
cihet, yön
cilt, ten
cimri, pinti
cimri, hasis
cins, tür
civar, yöre
cömert, eli açık
cümle, tümce
çabuk, acele
çağ, devir
çağdaş, modern, uygar
çağrı, davet
çayır, davet
çehre, yüz
çeşit, tür
çeviri, tercüme
çığlık, feryat
çılgın, deli
çizelge, cetvel
çoğunluk, ekseriyet
çok, fazla
çamur, balçık
çare, deva
dahil, iç
daimi, sürekli
darbe, vuruş
dargın, küs
darılmak, küsmek
davet, çağrı
defa, kez
değer, kıymet
değerli, kıymetli
değnek, sopa
deli, çılgın
delil, kanıt
deneme, tecrübe
denetim, kontrol
deney, tecrübe
deprem, zerzele
dergi, mecmua
derhal, hemen
deri, ten
derslik, sınıf
devamlı, sürekli
devinim, hareket
devir, çağ
devir, tur
devre, dönem
dışalım, ithalat
dışsatım, ihracat
diğer, başka
dil, lisan
dilbilgisi, gramer
diri, canlı
dize, mısra
doğa, tabiat
doğal, tabii
doğu, şark
doktor, hekim
donuk, mat
doruk, zirve
dönemeç:viraj
döşek:yatak
duru:berrak
durum:vaziyet
duygu:his
düş:rüya
düşünce:fikir
düzen:seviye
düzmece:sahte
düzyazı:nesir
dilek:istek
dizi:sıra
dost:arkadaş
ebat: boyut
ebedi: sonsuz
ebeveyn. ana, baba
edat: ilgeç
efe: zeybek
egoist:bencil
ehemmiyet:önem
ek. i̇lave
eklem: mafsal
ekonomi : iktisat
elbise: giysi
emir: buyruk
emniyet: güvenlik
ender: nadir
endişe :kaygı
endüstri:sanayi
enkaz: yıkıntı
enlem: paralel
entari: giysi
enteresan: ilginç
erek: amaç
esas: temel
eser: yapıt
esir: tutsak
etki: tesir
etraf: çevre
evvel: önce
eylem: fiil
eylemsi: fiilimsi
ev: konut
edebiyat: yazın
eda: verme
faaliyet: etkinlik
fakat: ama, lakin
fakir: yoksul, fukara
faktör, unsur
fare, sıçan
fark, ayrım
fasıla, ara
fayda, yarar
fazla, çok
fena, kötü
fert, birey
feza, uzay
fiil,  eylem
fikir, düşünce
file, ağ
füze, roket
felç, nüzul
fer, ışık
faiz, nema
garip, acayip
garp, batı
gaye, amaç
gayret, çaba
gebe, hamile
gelecek, istikbal, ati
gelenek, anane
gene, yine
genel, umumi
geri, art
gıda, besin
giysi, elbise
giz, sır
gizli, saklı
görev, vazife
gövde, beden
gramer, dilbilgisi
güç, kuvvet, zor
güçlü, kuvvetli
güldürü, komedi
gülünç, komik
güney, cenup
güven, itimat
güz, sonbahar
gözlem, rasat
gökyüzü, sema
gezmek, dolaşmak
hal, durum
halbuki, oysa
ham, olmamış
hane, ev
hareket, devinim
hariç, dış
harp, savaş
hasis, cimri, pinti
hasret, özlem
hassas, duygulu
hatıra, anı
hayal, düş
hayat, yaşam
haysiyet, onur
hediye, armağan
hekim, doktor
hela, tuvalet, wc
hemen, derhal
hiddet, öfke
hikaye, öykü
hisse, pay
hudut, sınır
hususi, özel
hür, özgür
hısım, akraba
hasım, düşman
hareket, devinim
hadise, olay
ilıca, kaplıca
irak, uzak
irgat, rençber
irk, soy
ira,  karakter
irmak, nehir
i̇cat, buluş
i̇ç, dahil
i̇çten, samimi
i̇dare, yönetim
i̇hracat, dışsatım
i̇htiyar, yaşlı
i̇htiyaç, gereksinim
i̇kaz, uyarı
i̇ktisat, ekonomi
i̇lave, ek
i̇lgeç, edat
i̇lgi, alaka
i̇lginç, enteresan
i̇lim, bilim
i̇mar, bayındır
i̇mkan, olanak
i̇sim, ad
i̇skemle, sandalye
i̇thalat, dışalım
i̇tibar, saygınlık
i̇timat, güven
i̇tina, özen
i̇zah, açıklama
i̇dadi, lise
i̇lan, duyuru
i̇lişki, münasebet, temas
i̇mtihan, sınav
jeoloji, yer bilimi
kabiliyet, yetenek
kabus, karabasan
kafa, baş
kafi, yeter
kafiye, uyak
kalite, nitelik
kalp, yürek
kamu, halk
kanıt, delil
kapital, anamal, sermaye
kanun, yasa
kara, siyah
karşın, rağmen
karşıt, zıt
